FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
CUNIT2	CUNIT2	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			None	
DATASUM	DATASUM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		data unit checksum updated 2026-06-05T21:42:25	3118961876	
DATE-BEG	DATE_BEG	SCALES	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y		N	Y			2026-06-06T04:41:52.195647	
DATE-END	DATE_END	SCALES	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y		N	Y			2026-06-06T04:42:23.051717	
DATLEVEL	DATLEVEL	KOA	integer		NUMBER(*,0)	16	N	Y	N		16d					Y		N	Y		Data reduction level		
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	16s	Y				Y					DCS Dec		Confirm that this is in sexagesimal and not decimal? [ACL]  Yes
DISBAS	DISBAS	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] DISM top	78.74	
DISM	DISM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] DISM motor	78.87	
DISPSCAL	DISPSCAL	KOA	double		FLOAT(126)	32	Y	Y	N		18.8f					Y		N	Y		"Detector pixel scale, dispersion (hi 0.144, low 0.190)"		
DQA_DATE	DQA_DATE	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N		32s					Y		N	Y		Date of DQA run		$          
DQA_VERS	DQA_VERS	KOA	char		VARCHAR2(8 BYTE)	8	N	Y	N		8s					Y		N	Y		DQA version number		
DSPRSNAM	DSPRSNAM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		Dispersion carousel named position	M-grating	
DSPRSORD	DSPRSORD	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		Dispersion carousel ordinal position	14	
DSPRSRAW	DSPRSRAW	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		"Dispersion carousel position, counts"	28023	
EQUINOX	EQUINOX	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f		1855.0	2100.0		Y	Y				Telescope equinox	2000	
EXPTIME	EXPTIME	SCALES	double	seconds	FLOAT(126)	16	Y	Y	N		16.6f					Y		N	Y			30	
FILTER	FILTER	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			Unknown	
FM2	FM2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] FCOP FM2	77.54	
FM4	FM4	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Top of Fold Mirror	77.76	
FPCBAS	FPCBAS	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] FPCM Base of Body	78.1	
FPCFRM	FPCFRM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] FPCM Shoulder/Top of Frame	78.48	
FPCMOT	FPCMOT	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] FPCM Motor	77.86	
FRAMENO	FRAMENO	KCWI	integer		NUMBER(*,0)	16	Y	Y	Y		16d		0.0	9999.0		Y	Y			Y	frame number	1919	Can this actually go over 9999?  That's been max with previous instruments [ACL]  Probably could, but shouldn't.
GETTR1	GETTR1	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Getter 1 (Port Bow) --> shorted out	31.15	
GETTR2	GETTR2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Getter2 (Port Aft)	85.41	
GETTR3	GETTR3	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Getter3 (SB Bow)	84.35	
GUIDFWHM	GUIDFWHM	KOA	double	arcseconds	FLOAT(126)	32	Y	Y	N		18.8f					Y		N	Y		FWHM of NIRSPEC guide star		
GUIDTIME	GUIDTIME	KOA	char	hh:mm:ss.ss	VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y		UT of logger GUIDFWHM value		
HEART_01	HEART_01	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		sctherm.DISP1CLK	Heartbeat active	
HEART_02	HEART_02	SCALES	char		VARCHAR2(24 BYTE)	25	Y	Y	N		24s					Y		N	Y		scmot.DISP1CLK	Heartbeat active	
HEART_03	HEART_03	SCALES	char		VARCHAR2(24 BYTE)	26	Y	Y	N		24s					Y		N	Y		scmot.DISP2CLK	Heartbeat active	
HEART_04	HEART_04	SCALES	char		VARCHAR2(24 BYTE)	27	Y	Y	N		24s					Y		N	Y		scmot.DISP3CLK	Heartbeat active	
HEART_05	HEART_05	SCALES	char		VARCHAR2(24 BYTE)	28	Y	Y	N		24s					Y		N	Y		scmot.DISP4CLK	Heartbeat active	
HEART_06	HEART_06	SCALES	char		VARCHAR2(24 BYTE)	29	Y	Y	N		24s					Y		N	Y		scmot.DISP5CLK	Heartbeat active	
HEART_07	HEART_07	SCALES	char		VARCHAR2(24 BYTE)	30	Y	Y	N		24s					Y		N	Y		scmot.DISP6CLK	Heartbeat active	
HEART_08	HEART_08	SCALES	char		VARCHAR2(24 BYTE)	31	Y	Y	N		24s					Y		N	Y		scmot.DISP7CLK	Heartbeat active	
HEART_09	HEART_09	SCALES	char		VARCHAR2(24 BYTE)	32	Y	Y	N		24s					Y		N	Y		scmot.DISP8CLK	Heartbeat active	
HEART_10	HEART_10	SCALES	char		VARCHAR2(24 BYTE)	33	Y	Y	N		24s					Y		N	Y		scmot.DISP9CLK	Heartbeat active	
HEART_11	HEART_11	SCALES	char		VARCHAR2(24 BYTE)	34	Y	Y	N		24s					Y		N	Y		scpower.DISP1CLK	Heartbeat active	
HEART_12	HEART_12	SCALES	char		VARCHAR2(24 BYTE)	35	Y	Y	N		24s					Y		N	Y		scpower.DISP2CLK	Heartbeat active	
HEART_13	HEART_13	SCALES	char		VARCHAR2(24 BYTE)	36	Y	Y	N		24s					Y		N	Y		scpower.DISP3CLK	Heartbeat active	
HEART_14	HEART_14	SCALES	char		VARCHAR2(24 BYTE)	37	Y	Y	N		24s					Y		N	Y		scpower.DISP4CLK	Heartbeat active	
HEART_15	HEART_15	SCALES	char		VARCHAR2(24 BYTE)	38	Y	Y	N		24s					Y		N	Y		scturbo.DISP1CLK	Heartbeat active	
HEART_16	HEART_16	SCALES	char		VARCHAR2(24 BYTE)	39	Y	Y	N		24s					Y		N	Y		scvac1.DISP1CLK	Heartbeat active	
HEART_17	HEART_17	SCALES	char		VARCHAR2(24 BYTE)	40	Y	Y	N		24s					Y		N	Y		crvac.DISP1CLK	Heartbeat active	
HEART_18	HEART_18	SCALES	char		VARCHAR2(24 BYTE)	41	Y	Y	N		24s					Y		N	Y		scheaters.DISP1CLK	Heartbeat active	
HEART_19	HEART_19	SCALES	char		VARCHAR2(24 BYTE)	42	Y	Y	N		24s					Y		N	Y		scheaters.DISP2CLK	Heartbeat active	
HEART_20	HEART_20	SCALES	char		VARCHAR2(24 BYTE)	43	Y	Y	N		24s					Y		N	Y		scheaters.DISP3CLK	Keygrabber starting	
HEART_21	HEART_21	SCALES	char		VARCHAR2(24 BYTE)	44	Y	Y	N		24s					Y		N	Y		scheaters.DISP4CLK	Heartbeat active	
HEART_22	HEART_22	SCALES	char		VARCHAR2(24 BYTE)	45	Y	Y	N		24s					Y		N	Y		scmono.DISP0CLK	Heartbeat active	
HEART_23	HEART_23	SCALES	char		VARCHAR2(24 BYTE)	46	Y	Y	N		24s					Y		N	Y		scmono.DISP1CLK	Heartbeat active	
HEART_24	HEART_24	SCALES	char		VARCHAR2(24 BYTE)	47	Y	Y	N		24s					Y		N	Y		scutil.DISP1CLK	Heartbeat active	
HEART_25	HEART_25	SCALES	char		VARCHAR2(24 BYTE)	48	Y	Y	N		24s					Y		N	Y		scops.DISP1CLK	Heartbeat active	
IFSASC	IFSASC	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] IFS ASIC Wing	89.29	
IFSFRM	IFSFRM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] IFFM base	80.69	
IFSFW1N	IFSFW1N	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		IFS FW1 named position	Unknown	
IFSFW1O	IFSFW1O	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		IFS FW1 ordinal position	-999	
IFSFW1R	IFSFW1R	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		"IFS FW1 position, counts"	543388	
IFSFW2N	IFSFW2N	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		IFS FW2 named position	Unknown	
IFSFW2O	IFSFW2O	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		IFS FW2 ordinal position	-999	
IFSFW2R	IFSFW2R	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		"IFS FW2 position, counts"	340399	
IFSFWNAM	IFSFWNAM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		IFS combo-FW position	Unknown	
IFSM1	IFSM1	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] IFFM Motor 1 external	79.84	
IFSM2	IFSM2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] IFFM Motor 2 external	80.35	
IFSMODE	IFSMODE	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y			Unknown	
