FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
MJD	MJD	SCALES	double		FLOAT(126)	16	Y	Y	N		16.5f					Y		N	Y			61197.19574	
MODSLNAM	MODSLNAM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		Mode selector named position	MedRes	
MODSLORD	MODSLORD	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		Mode selector ordinal position	1	
MODSLRAW	MODSLRAW	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		"Mode selector position, counts"	1400	
MONOFNAM	MONOFNAM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		Monochromator filter name	3 um	
MONOFPOS	MONOFPOS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		Monochromator filter position	1	
MONOGNAM	MONOGNAM	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		Monochromator grating name	300	
MONOGPOS	MONOGPOS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		Monochromator grating position	2	
MONOSTA	MONOSTA	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y		Monochromator status	Ready	
MONOWAVE	MONOWAVE	SCALES	double		FLOAT(126)	16	Y	Y	N		16.6f					Y		N	Y		Monochromator wavelength	4560.871429	
NAXIS	NAXIS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y		number of array dimensions	3	
NAXIS1	NAXIS1	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			2048	
NAXIS2	NAXIS2	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			2048	
NAXIS3	NAXIS3	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			52	
NDROPS	NDROPS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			0	
NGROUPS	NGROUPS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			1	
NPIXSAT	NPIXSAT	KOA	integer	DN	NUMBER(*,0)	16	Y	Y	N		16d					Y		N	Y		Number of saturated pixels (65535 DN)		
NRAMPS	NRAMPS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			1	
NREADS	NREADS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			52	
NRESETS	NRESETS	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			0	
OA	OA	KOA	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y		N	Y		Observing assistant		
OAH	OAH	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] Top of IMG OAH	77.88	
OAP2	OAP2	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] FCOP OAP2	77.36	
OBJECT	OBJECT	SCALES	char		VARCHAR2(80 BYTE)	80	Y	Y	N		80s					Y		N	Y		Object name		
OBSERVER	OBSERVER	SCALES	char		VARCHAR2(128 BYTE)	128	Y	Y	N		128s					Y		N	Y		Name of observer(s)		
OBSMODE	OBSMODE	SCALES	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y		N	Y		Basic mode of observation	IFS Spectrograph	
OBSNUM	OBSNUM	SCALES	integer		NUMBER(*,0)	8	Y	Y	N		8d					Y		N	Y			5342	
OFNAME	OFNAME	SCALES	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y		N	Y			/data20/CD5/IFS/ss260605_05342.fits	
OUTDIR	OUTDIR	SCALES	char		VARCHAR2(80 BYTE)	80	Y	Y	N		80s					Y		N	Y			/data20/CD5/IFS	
PCLOCK	PCLOCK	SCALES	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y		N	Y			1.8 MHz	
PPLBAS	PPLBAS	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		"[K] Base of Frame, OAE side"	78.01	
PPLFRM	PPLFRM	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		"[K] Top of Frame, OAE side"	78	
PPLMOT	PPLMOT	SCALES	double	Kelvin	FLOAT(126)	8	Y	Y	N		8.2f					Y		N	Y		[K] PPLM Motor	78.55	
PRES1	PRES1	SCALES	double		FLOAT(126)	16	Y	Y	N		16.4f					Y		N	Y		Pressure sensor 1	7.37e-06	
